title,notation,label
2207.16-Nuclear magnetic resonance,2207.16,Nuclear magnetic resonance
2207.17-Nuclear reaction and scattering,2207.17,Nuclear reaction and scattering
2207.18-Nuclear reactors,2207.18,Nuclear reactors
2207.19-Nuclear structure,2207.19,Nuclear structure
2207.20-Radioisotopes,2207.20,Radioisotopes
2207.21-Thermonuclear fusion,2207.21,Thermonuclear fusion
2207.90-Low energy experimental nuclear physics,2207.90,Low energy experimental nuclear physics
2207.99-Other (specify),2207.99,Other (specify)
2208.01-Beam handling,2208.01,Beam handling
2208.02-Beam sources,2208.02,Beam sources
2208.03-Fusion reactors,2208.03,Fusion reactors
2208.04-Nuclei,2208.04,Nuclei
2208.05-Particle accelerators,2208.05,Particle accelerators
2208.06-Particle detectors,2208.06,Particle detectors
2208.07-Particle physics,2208.07,Particle physics
2208.08-Particles sources,2208.08,Particles sources
2208.09-Plasma Containment,2208.09,Plasma Containment
2208.99-Other (specify),2208.99,Other (specify)
2209.01-Absorption spectroscopy,2209.01,Absorption spectroscopy
2209.02-Cinematography,2209.02,Cinematography
2209.03-Colorimetry,2209.03,Colorimetry
2209.04-Emission spectroscopy,2209.04,Emission spectroscopy
2209.05-Fibre Optics,2209.05,Fibre Optics
2209.06-Geometric optics,2209.06,Geometric optics
2209.07-Holography,2209.07,Holography
2209.08-Ilumination,2209.08,Ilumination
2209.09-Infrared radiation,2209.09,Infrared radiation
2209.10-lasers,2209.10,lasers
2209.11-Light,2209.11,Light
2209.12-Microscopes,2209.12,Microscopes
2209.13-Non-linear Optics,2209.13,Non-linear Optics
2209.14-Optical properties of solids,2209.14,Optical properties of solids
2209.15-Optometry,2209.15,Optometry
2209.16-Photographic instrumentation,2209.16,Photographic instrumentation
2209.17-Photography,2209.17,Photography
2209.18-Photometry,2209.18,Photometry
2209.19-Physical optics,2209.19,Physical optics
2209.20-Radiometry,2209.20,Radiometry
2209.21-Spectroscopy,2209.21,Spectroscopy
2209.22-Ultra-violet radiation,2209.22,Ultra-violet radiation
2209.23-Visible radiation,2209.23,Visible radiation
2209.24-Vision (physics of),2209.24,Vision (physics of)
2209.90-Digital treatment. Images,2209.90,Digital treatment. Images
2209.99-Other (specify),2209.99,Other (specify)
2210.01-Catalysis,2210.01,Catalysis
2210.02-Chemical and phase equilibrium,2210.02,Chemical and phase equilibrium
2210.03-Chemical kinetics,2210.03,Chemical kinetics
2210.04-Colloids chemistry,2210.04,Colloids chemistry
2210.05-Electrochemistry,2210.05,Electrochemistry
2210.06-Electrolytes,2210.06,Electrolytes
2210.07-Electronic spectroscopy,2210.07,Electronic spectroscopy
2210.08-Emulsions,2210.08,Emulsions
2210.09-Energy transfer,2210.09,Energy transfer
2210.10-Fast reactions; explosives,2210.10,Fast reactions; explosives
2210.11-Flames,2210.11,Flames
2210.12-Fuel cells (theory of),2210.12,Fuel cells (theory of)
2210.13-Fused salts,2210.13,Fused salts
2210.14-Gas phase physics,2210.14,Gas phase physics
2210.15-High temperatures chemistry,2210.15,High temperatures chemistry
2210.16-Interfacial chemistry,2210.16,Interfacial chemistry
2210.17-Ion eschange,2210.17,Ion eschange
2210.18-liquid state physics,2210.18,liquid state physics
2210.19-Membrane phenomena,2210.19,Membrane phenomena
2210.20-Molecular spectroscopy,2210.20,Molecular spectroscopy
2210.21-Phase equilibria,2210.21,Phase equilibria
2210.22-Photochemistry,2210.22,Photochemistry
2210.23-Quantum theory,2210.23,Quantum theory
2210.24-Radiochemistry,2210.24,Radiochemistry
2210.25-Relation processes,2210.25,Relation processes
2210.26-Scattering phenomena,2210.26,Scattering phenomena
2210.27-States of matter,2210.27,States of matter
2210.28-Solid state chemistry,2210.28,Solid state chemistry
2210.29-Solid state physics,2210.29,Solid state physics
2210.30-Solutions,2210.30,Solutions
2210.31-Thermochemistry,2210.31,Thermochemistry
2210.32-Thermodynamics,2210.32,Thermodynamics
2210.33-Transport phenomena,2210.33,Transport phenomena
2210.34-Valence theory,2210.34,Valence theory
2210.90-Physical chemistry of Polymers,2210.90,Physical chemistry of Polymers
2210.91-Physical Chemistry: Gas phase chemistry,2210.91,Physical Chemistry: Gas phase chemistry
2210.93-Liquid crystals,2210.93,Liquid crystals
2210.99-Other (specify),2210.99,Other (specify)
2211.01-Alloys,2211.01,Alloys
2211.02-Composites,2211.02,Composites
2211.03-Crystal growth,2211.03,Crystal growth
2211.04-Crystallography,2211.04,Crystallography
2211.05-Crystal structure,2211.05,Crystal structure
2211.06-Dendrites,2211.06,Dendrites
2211.07-Dielectrics,2211.07,Dielectrics
2211.08-Diffusion in solids,2211.08,Diffusion in solids
2211.09-Electron carriers properties,2211.09,Electron carriers properties
2211.10-Electron states,2211.10,Electron states
2211.11-Electron transport properties,2211.11,Electron transport properties
2211.12-Imperfections,2211.12,Imperfections
2211.13-Interaction of radiation with solids,2211.13,Interaction of radiation with solids
2211.14-Interfaces,2211.14,Interfaces
2211.15-Lattice mechanics,2211.15,Lattice mechanics
2211.16-Luminescence,2211.16,Luminescence
2211.17-Magnetic properties,2211.17,Magnetic properties
2211.18-Magnetic resonance,2211.18,Magnetic resonance
2211.19-Mechanical properties,2211.19,Mechanical properties
2211.20-metallic conductors,2211.20,metallic conductors
2211.21-Metallurgy,2211.21,Metallurgy
2211.22-Metallography,2211.22,Metallography
2211.23-Non-crystalline states,2211.23,Non-crystalline states
2211.24-Optical properties,2211.24,Optical properties
2211.25-Semiconductors,2211.25,Semiconductors
2211.26-Solid state devices,2211.26,Solid state devices
2211.27-Superconductors,2211.27,Superconductors
2211.28-Surfaces,2211.28,Surfaces
2211.29-Thermal properties of solids,2211.29,Thermal properties of solids
2211.30-Tribology,2211.30,Tribology
2211.90-Solid state physics. Thin sheet,2211.90,Solid state physics. Thin sheet
2211.91-Solid State physics. Solids spectroscopy,2211.91,Solid State physics. Solids spectroscopy
2211.99-Other (specify),2211.99,Other (specify)
2212.01-Electromagnetic fields,2212.01,Electromagnetic fields
2212.02-Elementary particles ,2212.02,Elementary particles 
2212.03-Energy (physics),2212.03,Energy (physics)
2212.04-Fields,2212.04,Fields
2212.05-Gravitation ,2212.05,Gravitation 
2212.06-Gravitational fields,2212.06,Gravitational fields
2212.07-Gravitons,2212.07,Gravitons
2212.08-Hadrons,2212.08,Hadrons
2212.09-Leptons,2212.09,Leptons
2212.10-Mass,2212.10,Mass
2212.11-Photons ,2212.11,Photons 
2212.12-Quantum field theory ,2212.12,Quantum field theory 
2212.13-Radiation (electromagnetic) ,2212.13,Radiation (electromagnetic) 
2212.14-Theory of relativity,2212.14,Theory of relativity
2212.99-Other (specify),2212.99,Other (specify)
2213.01-Changes of state,2213.01,Changes of state
2213.02-Heat transfer (physics of),2213.02,Heat transfer (physics of)
2213.03-High pressure,2213.03,High pressure
2213.04-High temperature,2213.04,High temperature
2213.05-Kinetic theory,2213.05,Kinetic theory
2213.06-Low temperatures,2213.06,Low temperatures
2213.07-Phase transition,2213.07,Phase transition
2213.08-Thermal measurement techniques,2213.08,Thermal measurement techniques
2213.09-Thermodynamic equilibria,2213.09,Thermodynamic equilibria
2213.10-Thermodynamic relationships,2213.10,Thermodynamic relationships
2213.11-Transport phenomena,2213.11,Transport phenomena
2213.99-Other (specify),2213.99,Other (specify)
2214.01-Constants (physics),2214.01,Constants (physics)
2214.02-Metrology,2214.02,Metrology
2214.03-Standard units,2214.03,Standard units
2214.04-Unit calibration,2214.04,Unit calibration
2214.05-Unit conversion,2214.05,Unit conversion
2214.99-Other (specify),2214.99,Other (specify)
2290.01-Theoretical high energy physics,2290.01,Theoretical high energy physics
2301.01-Absorption spectroscopy,2301.01,Absorption spectroscopy
2301.02-Biochemical analysis,2301.02,Biochemical analysis
2301.03-Chromatographic analysis,2301.03,Chromatographic analysis
2301.04-Electrochemical Analysis,2301.04,Electrochemical Analysis
2301.05-Emission spectroscopy,2301.05,Emission spectroscopy
2301.06-Fluorimetry,2301.06,Fluorimetry
2301.07-Gravimetry,2301.07,Gravimetry
2301.08-Infrared spectroscopy,2301.08,Infrared spectroscopy
2301.09-Magnetic resonance spectroscopy,2301.09,Magnetic resonance spectroscopy
2301.10-Mass spectroscopy,2301.10,Mass spectroscopy
2301.11-Microchemical analysis,2301.11,Microchemical analysis
2301.12-Microscopy,2301.12,Microscopy
2301.13-Microwave spectroscopy,2301.13,Microwave spectroscopy
2301.14-Phosphorimetry,2301.14,Phosphorimetry
2301.15-Polymer analysis,2301.15,Polymer analysis
2301.16-Radiochemical analysis,2301.16,Radiochemical analysis
2301.17-Raman spectroscopy,2301.17,Raman spectroscopy
2301.18-Thermal analytical methods,2301.18,Thermal analytical methods
2301.19-Volumetry,2301.19,Volumetry
2301.20-X-Ray spectroscopy,2301.20,X-Ray spectroscopy
2301.99-Other (specify),2301.99,Other (specify)
2302.01-Alkaloids,2302.01,Alkaloids
2302.02-Amino Acids,2302.02,Amino Acids
2302.03-Antimetabolites,2302.03,Antimetabolites
2302.04-Biochemical genetics,2302.04,Biochemical genetics
2302.05-Biosynthesis,2302.05,Biosynthesis
2302.06-Chemotherapy,2302.06,Chemotherapy
2302.07-Clinical chemistry,2302.07,Clinical chemistry
2302.08-Co-enzymes,2302.08,Co-enzymes
2302.09-enzymology,2302.09,enzymology
2302.10-Essential oils,2302.10,Essential oils
2302.11-Fatty acids,2302.11,Fatty acids
2302.12-Fermentation,2302.12,Fermentation
